146位のチームA pt	2,232,449 pt
116位のチームJ pt	3,777,589 pt
※10/30(日) 10:44 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,740,607 pt
116位のチームC pt	2,976,689 pt
116位のチームD pt	3,305,646 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,497,829 pt
116位のチームH pt	3,391,527 pt
116位のチームI pt	4,014,948 pt
116位のチームJ pt	3,777,589 pt
※10/30(日)10:44 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,740,607 pt
116位のチームC pt	2,976,689 pt
116位のチームD pt	3,305,646 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,497,944 pt
116位のチームH pt	3,392,791 pt
116位のチームI pt	4,014,948 pt
116位のチームJ pt	3,777,590 pt
※10/30(日)10:45 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,742,970 pt
116位のチームC pt	2,977,471 pt
116位のチームD pt	3,308,846 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,497,944 pt
116位のチームH pt	3,392,792 pt
116位のチームI pt	4,014,949 pt
116位のチームJ pt	3,777,590 pt
※10/30(日) 10:45 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,742,970 pt
116位のチームC pt	2,977,471 pt
116位のチームD pt	3,308,846 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,497,944 pt
116位のチームH pt	3,392,792 pt
116位のチームI pt	4,014,949 pt
116位のチームJ pt	3,777,590 pt
※10/30(日)10:45 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,742,972 pt
116位のチームC pt	2,980,056 pt
116位のチームD pt	3,308,847 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,498,044 pt
116位のチームH pt	3,392,793 pt
116位のチームI pt	4,014,949 pt
116位のチームJ pt	3,784,101 pt
※10/30(日)10:46 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,073 pt
116位のチームC pt	2,980,056 pt
116位のチームD pt	3,308,847 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,498,045 pt
116位のチームH pt	3,392,894 pt
116位のチームI pt	4,014,950 pt
116位のチームJ pt	3,785,847 pt
※10/30(日) 10:46 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,073 pt
116位のチームC pt	2,980,056 pt
116位のチームD pt	3,308,847 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,498,045 pt
116位のチームH pt	3,392,894 pt
116位のチームI pt	4,014,950 pt
116位のチームJ pt	3,785,847 pt
※10/30(日)10:46 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,073 pt
116位のチームC pt	2,980,056 pt
116位のチームD pt	3,308,847 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,498,045 pt
116位のチームH pt	3,392,895 pt
116位のチームI pt	4,015,050 pt
116位のチームJ pt	3,785,847 pt
※10/30(日)10:47 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,073 pt
116位のチームC pt	2,980,056 pt
116位のチームD pt	3,311,255 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,046 pt
116位のチームH pt	3,392,995 pt
116位のチームI pt	4,015,051 pt
116位のチームJ pt	3,785,847 pt
※10/30(日) 10:47 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,073 pt
116位のチームC pt	2,980,056 pt
116位のチームD pt	3,311,255 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,046 pt
116位のチームH pt	3,392,995 pt
116位のチームI pt	4,015,051 pt
116位のチームJ pt	3,785,847 pt
※10/30(日)10:47 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,175 pt
116位のチームC pt	2,980,156 pt
116位のチームD pt	3,311,355 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,392,996 pt
116位のチームI pt	4,017,506 pt
116位のチームJ pt	3,794,231 pt
※10/30(日)10:48 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,176 pt
116位のチームC pt	2,980,156 pt
116位のチームD pt	3,311,357 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,392,996 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,797,328 pt
※10/30(日) 10:48 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,176 pt
116位のチームC pt	2,980,156 pt
116位のチームD pt	3,311,357 pt
116位のチームE pt	3,491,168 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,392,996 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,797,328 pt
※10/30(日)10:48 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,278 pt
116位のチームC pt	2,980,156 pt
116位のチームD pt	3,312,568 pt
116位のチームE pt	3,491,169 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,398,458 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,799,074 pt
※10/30(日)10:49 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,379 pt
116位のチームC pt	2,980,156 pt
116位のチームD pt	3,312,568 pt
116位のチームE pt	3,491,270 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,398,459 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日) 10:49 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,379 pt
116位のチームC pt	2,980,156 pt
116位のチームD pt	3,312,568 pt
116位のチームE pt	3,491,270 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,398,459 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:49 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,743,481 pt
116位のチームC pt	2,980,157 pt
116位のチームD pt	3,313,774 pt
116位のチームE pt	3,491,272 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,398,459 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:50 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,748,381 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,314,815 pt
116位のチームE pt	3,494,907 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日) 10:50 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,748,381 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,314,815 pt
116位のチームE pt	3,494,907 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:50 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,748,483 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,317,061 pt
116位のチームE pt	3,494,908 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:51 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,748,584 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,317,061 pt
116位のチームE pt	3,495,008 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日) 10:51 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,748,584 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,317,061 pt
116位のチームE pt	3,495,008 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:51 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,748,586 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,318,273 pt
116位のチームE pt	3,495,110 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:52 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,748,753 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,318,469 pt
116位のチームE pt	3,495,112 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日) 10:52 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,748,753 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,318,469 pt
116位のチームE pt	3,495,112 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:52 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,750,318 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,321,576 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:53 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,750,319 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,321,576 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日) 10:53 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,750,319 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,321,576 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:53 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,750,319 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,321,576 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,406,700 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:54 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,751,453 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,323,574 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,417,604 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日) 10:54 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,751,453 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,323,574 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,417,604 pt
116位のチームI pt	4,025,030 pt
116位のチームJ pt	3,800,032 pt
※10/30(日)10:54 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,751,454 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,323,574 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,417,605 pt
116位のチームI pt	4,027,875 pt
116位のチームJ pt	3,801,179 pt
※10/30(日)10:55 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,751,556 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,323,575 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,417,605 pt
116位のチームI pt	4,027,875 pt
116位のチームJ pt	3,803,089 pt
※10/30(日) 10:55 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,751,556 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,323,575 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,417,605 pt
116位のチームI pt	4,027,875 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)10:55 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,751,657 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,323,575 pt
116位のチームE pt	3,495,656 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,417,605 pt
116位のチームI pt	4,027,875 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)10:56 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,497,221 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,418,986 pt
116位のチームI pt	4,029,211 pt
116位のチームJ pt	3,803,089 pt
※10/30(日) 10:56 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,497,221 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,418,986 pt
116位のチームI pt	4,029,211 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)10:56 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,497,321 pt
116位のチームF pt	5,694,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,418,986 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)10:57 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,497,322 pt
116位のチームF pt	5,698,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,421,754 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日) 10:57 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,497,322 pt
116位のチームF pt	5,698,591 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,421,754 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)10:57 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,499,016 pt
116位のチームF pt	5,699,639 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,421,754 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)10:58 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,505,522 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日) 10:58 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,505,522 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)10:58 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,537 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)10:59 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,846 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日) 11:00 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,755,846 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,029,643 pt
116位のチームJ pt	3,803,089 pt
※10/30(日)11:00 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,759,080 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,030,155 pt
116位のチームJ pt	3,804,210 pt
※10/30(日)11:00 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,759,181 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,030,155 pt
116位のチームJ pt	3,805,432 pt
※10/30(日) 11:00 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,759,181 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,030,155 pt
116位のチームJ pt	3,805,432 pt
※10/30(日)11:00 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,759,527 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,030,802 pt
116位のチームJ pt	3,810,132 pt
※10/30(日)11:01 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,031,404 pt
116位のチームJ pt	3,812,825 pt
※10/30(日) 11:01 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,031,404 pt
116位のチームJ pt	3,812,825 pt
※10/30(日)11:01 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,324,719 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,032,958 pt
116位のチームJ pt	3,812,825 pt
※10/30(日)11:02 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,032,958 pt
116位のチームJ pt	3,812,825 pt
※10/30(日) 11:02 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,032,958 pt
116位のチームJ pt	3,812,825 pt
※10/30(日)11:02 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,034,898 pt
116位のチームJ pt	3,812,825 pt
※10/30(日)11:03 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,034,898 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:03 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,634 pt
116位のチームF pt	5,701,012 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,034,898 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:03 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,702,533 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:04 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,703,932 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:04 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,703,932 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:04 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,707,111 pt
116位のチームG pt	2,502,290 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:05 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,710,324 pt
116位のチームG pt	2,502,291 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:05 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,710,324 pt
116位のチームG pt	2,502,291 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:05 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,714,437 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:06 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,714,538 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:06 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,328,408 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,714,538 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:06 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,329,913 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,721,699 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日)11:07 集計時点
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,330,014 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,722,665 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
※10/30(日) 11:07 集計時点BY SKDN
116位のチームA pt	2,596,616 pt
116位のチームB pt	4,760,271 pt
116位のチームC pt	2,982,857 pt
116位のチームD pt	3,330,014 pt
116位のチームE pt	3,509,822 pt
116位のチームF pt	5,722,665 pt
116位のチームG pt	2,502,510 pt
116位のチームH pt	3,422,036 pt
116位のチームI pt	4,035,789 pt
116位のチームJ pt	3,814,132 pt
